indice,nome,url_produto,url_imagem,arquivo_imagem
79,Container de Lixo 1200 Litros com Tampa Bipartida - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-Lixo-1200-litros-com-tampa-bipartida,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/04/container-1200L-diagonal.jpg?fit=480%2C480&ssl=1,imagens\container-1200L-diagonal.jpg
80,Container de Lixo 700 Litros Com Pedal - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-Lixo-700-litros-com-pedal,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMSIgaGVpZ2h0PSIxIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
81,Container de Lixo 700 Litros Sem Pedal - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-Lixo-700-litros-sem-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/container-700-litros-lar-plasticos.gif?fit=400%2C400&ssl=1,imagens\container-700-litros-lar-plasticos.gif
82,Container de Lixo 500 Litros Sem Pedal - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-lixo-500-litros-sem-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/07/container-500-litros-lar-plasticos.gif?fit=400%2C400&ssl=1,imagens\container-500-litros-lar-plasticos.gif
83,Container de Lixo 500 Litros Com Pedal - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-lixo-com-pedal-500-litros-com-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/11/container-500-litros-com-pedal-lar-plasticos.gif?fit=400%2C400&ssl=1,imagens\container-500-litros-com-pedal-lar-plasticos.gif
84,CONTAINER DE PLÁSTICO INJETADO 1000 LITROS  - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-plastico-injetado-1000-litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/01/Container-1000L-Inj-Vermelho.png?fit=1080%2C1080&ssl=1,imagens\Container-1000L-Inj-Vermelho.png
85,CONTAINER DE PLÁSTICO INJETADO 1000 LITROS  - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-plastico-injetado-1100-litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/01/Container-1000L-Inj-Vermelho.png?fit=1080%2C1080&ssl=1,imagens\Container-1000L-Inj-Vermelho.png
86,Ecopev Iglu 2500 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/ecopev-iglu-2500,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2023/01/ECO-IGLU-2-scaled.jpg?fit=2560%2C1920&ssl=1,imagens\ECO-IGLU-2-scaled.jpg
87,ESTRADOS DE PLÁSTICO 41cm X 82cm - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/estrado-de-plastico/estrados-de-plastico/estrados-de-plastico-41cm-x-82cm/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/07/Estrado-41x82-1.png?fit=1000%2C1000&ssl=1,imagens\Estrado-41x82-1.png
88,LIXEIRA INOX COM PEDAL 12 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-12litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC001-12L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC001-12L-scaled.jpg
